Temperature (K),Mass,Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color,Spectral Class,,name
15680,,0.00122,0.0114,11.92,2,Blue,B,,GJ 3512 b
14982,,0.00118,0.0113,12.23,2,Blue,B,,GJ 357 b
13340,,0.00109,0.0116,12.9,2,Blue,B,,GJ 357 c
18340,,0.00134,0.0124,11.22,2,Blue,B,,GJ 357 d
19920,,0.00156,0.0142,11.34,2,Blue,B,,GJ 3634 b
24020,,0.00159,0.0127,10.55,2,Blue,B,,GJ 3779 b
23092,,0.00132,0.0104,10.18,2,Blue,B,,GJ 3942 b
17920,,0.00111,0.0106,11.66,2,Blue,B,,GJ 3998 b
19360,,0.00125,0.00998,11.62,2,Blue,B,,GJ 3998 c
22350,,12450,6.36,-3.67,3,Blue-white,B,,GJ 411 b
10012,,552,5.856,0.013,3,Blue-white,A,,GJ 422 b
13089,,788,5.992,-0.12,3,Blue-white,A,,GJ 4276 b
22012,,6748,6.64,-2.55,3,Blue-white,B,,GJ 433 b
34190,,198200,6.39,-4.57,3,Blue,O,,GJ 433 c
32460,,173800,6.237,-4.36,3,Blue,O,,GJ 433 d
9320,,29,1.91,1.236,3,Blue-white,A,,GJ 436 b
19400,,10920,6.03,-3.08,3,Blue-white,B,,GJ 480 b
17140,,883,5.653,-2.64,3,Blue-white,B,,GJ 504 b
8250,,9.25,1.93,-0.98,3,yellow-white,F,,GJ 536 b
23678,,244290,35,-6.27,4,Blue,O,,GJ 581 b
12749,,332520,76,-7.02,4,Blue,O,,GJ 581 c
9383,,342940,98,-6.98,4,Blue,O,,GJ 581 e
23440,,537430,81,-5.975,4,Blue,O,,GJ 625 b
16787,,246730,62,-6.35,4,Blue,O,,GJ 649 b
18734,,224780,46,-7.45,4,Blue,O,,GJ 667 C b
9892,,593900,80,-7.262,4,Blue,O,,GJ 667 C c
10930,,783930,25,-6.224,4,Blue,O,,GJ 667 C e
23095,,347820,86,-5.905,4,Blue,O,,GJ 667 C f
21738,,748890,92,-7.346,4,Blue,O,,GJ 667 C g
24145,,382993,1494,-8.84,5,Blue-white,B,,GJ 674 b
38234,,272830,1356,-9.29,5,Blue,O,,GJ 676 A b
32489,,648430,1948.5,-10.84,5,Blue,O,,GJ 676 A c
27739,,849420,1252,-7.59,5,Blue-white,B,,GJ 676 A d
21904,,748490,1130,-7.67,5,Blue-white,B,,GJ 676 A e
38940,,374830,1356,-9.93,5,Blue,O,,GJ 682 b
30839,,834042,1194,-10.63,5,Blue,O,,GJ 682 c
8829,,537493,1423,-10.73,5,White,A,,GJ 685 b
9235,,404940,1112,-11.23,5,White,A,,GJ 687 b
37882,,294903,1783,-7.8,5,Blue,O,,GJ 687 c
,,,,,,,,,GJ 832 b
,,,,,,,,,GJ 832 c
,,,,,,,,,GJ 849 b
,,,,,,,,,GJ 86 b
,,,,,,,,,GJ 876 b
,,,,,,,,,GJ 876 c
,,,,,,,,,GJ 876 d
,,,,,,,,,GJ 876 e
,,,,,,,,,GJ 887 b
,,,,,,,,,GJ 887 c
,,,,,,,,,GJ 9066 b
,,,,,,,,,GJ 9066 c
,,,,,,,,,GJ 96 b
,,,,,,,,,GJ 9827 b
,,,,,,,,,GJ 9827 c
,,,,,,,,,GJ 9827 d
,,,,,,,,,Gl 378 b
,,,,,,,,,Gl 49 b
,,,,,,,,,Gl 686 b
,,,,,,,,,GQ Lupi b
,,,,,,,,,GSC 06214-00210 b
,,,,,,,,,GU Piscium b
,,,,,,,,,HAT-P-11 b
,,,,,,,,,HAT-P-11 c
,,,,,,,,,HAT-P-12 b
,,,,,,,,,HAT-P-13 b
,,,,,,,,,HAT-P-13 c
,,,,,,,,,HAT-P-14 b
,,,,,,,,,HAT-P-15 b
,,,,,,,,,HAT-P-16 b
,,,,,,,,,HAT-P-17 b
,,,,,,,,,HAT-P-17 c
,,,,,,,,,HAT-P-18 b
,,,,,,,,,HAT-P-19 b
,,,,,,,,,HAT-P-1 b
,,,,,,,,,HAT-P-20 b
,,,,,,,,,HAT-P-21 b
,,,,,,,,,HAT-P-22 b
,,,,,,,,,HAT-P-23 b
,,,,,,,,,HAT-P-24 b
,,,,,,,,,HAT-P-25 b
,,,,,,,,,HAT-P-26 b
,,,,,,,,,HAT-P-27 b
,,,,,,,,,HAT-P-28 b
,,,,,,,,,HAT-P-29 b
,,,,,,,,,HAT-P-2 b
,,,,,,,,,HAT-P-30 b
,,,,,,,,,HAT-P-31 b
,,,,,,,,,HAT-P-32 b
,,,,,,,,,HAT-P-33 b
,,,,,,,,,HAT-P-34 b
,,,,,,,,,HAT-P-35 b
,,,,,,,,,HAT-P-36 b
,,,,,,,,,HAT-P-37 b
,,,,,,,,,HAT-P-38 b
,,,,,,,,,HAT-P-39 b
,,,,,,,,,HAT-P-3 b
,,,,,,,,,HAT-P-40 b
,,,,,,,,,HAT-P-41 b
,,,,,,,,,HAT-P-42 b
,,,,,,,,,HAT-P-43 b
,,,,,,,,,HAT-P-44 b
,,,,,,,,,HAT-P-44 c
,,,,,,,,,HAT-P-45 b
,,,,,,,,,HAT-P-46 b
,,,,,,,,,HAT-P-49 b
,,,,,,,,,HAT-P-4 b
,,,,,,,,,HAT-P-50 b
,,,,,,,,,HAT-P-51 b
,,,,,,,,,HAT-P-52 b
,,,,,,,,,HAT-P-53 b
,,,,,,,,,HAT-P-54 b
,,,,,,,,,HAT-P-55 b
,,,,,,,,,HAT-P-56 b
,,,,,,,,,HAT-P-57 b
,,,,,,,,,HAT-P-5 b
,,,,,,,,,HAT-P-65 b
,,,,,,,,,HAT-P-66 b
,,,,,,,,,HAT-P-67 b
,,,,,,,,,HAT-P-69 b
,,,,,,,,,HAT-P-6 b
,,,,,,,,,HAT-P-70 b
,,,,,,,,,HAT-P-7 b
,,,,,,,,,HAT-P-8 b
,,,,,,,,,HAT-P-9 b
,,,,,,,,,HATS-10 b
,,,,,,,,,HATS-11 b
,,,,,,,,,HATS-12 b
,,,,,,,,,HATS-13 b
,,,,,,,,,HATS-14 b
,,,,,,,,,HATS-15 b
,,,,,,,,,HATS-16 b
,,,,,,,,,HATS-17 b
,,,,,,,,,HATS-18 b
,,,,,,,,,HATS-1 b
,,,,,,,,,HATS-22 b
,,,,,,,,,HATS-23 b
,,,,,,,,,HATS-24 b
,,,,,,,,,HATS-25 b
,,,,,,,,,HATS-26 b
,,,,,,,,,HATS-27 b
,,,,,,,,,HATS-28 b
,,,,,,,,,HATS-29 b
,,,,,,,,,HATS-2 b
,,,,,,,,,HATS-30 b
,,,,,,,,,HATS-31 b
,,,,,,,,,HATS-32 b
,,,,,,,,,HATS-33 b
,,,,,,,,,HATS-34 b
,,,,,,,,,HATS-35 b
,,,,,,,,,HATS-36 b
,,,,,,,,,HATS-37 A b
,,,,,,,,,HATS-38 b
,,,,,,,,,HATS-39 b
,,,,,,,,,HATS-3 b
,,,,,,,,,HATS-40 b
,,,,,,,,,HATS-41 b
,,,,,,,,,HATS-42 b
,,,,,,,,,HATS-43 b
,,,,,,,,,HATS-44 b
,,,,,,,,,HATS-45 b
,,,,,,,,,HATS-46 b
,,,,,,,,,HATS-47 b
,,,,,,,,,HATS-48 A b
,,,,,,,,,HATS-49 b
,,,,,,,,,HATS-4 b
,,,,,,,,,HATS-50 b
,,,,,,,,,HATS-51 b
,,,,,,,,,HATS-52 b
,,,,,,,,,HATS-53 b
,,,,,,,,,HATS-54 b
,,,,,,,,,HATS-55 b
,,,,,,,,,HATS-56 b
,,,,,,,,,HATS-57 b
,,,,,,,,,HATS-58 A b
,,,,,,,,,HATS-59 b
,,,,,,,,,HATS-59 c
,,,,,,,,,HATS-5 b
,,,,,,,,,HATS-60 b
,,,,,,,,,HATS-61 b
,,,,,,,,,HATS-62 b
,,,,,,,,,HATS-63 b
,,,,,,,,,HATS-64 b
,,,,,,,,,HATS-65 b
,,,,,,,,,HATS-66 b
,,,,,,,,,HATS-67 b
,,,,,,,,,HATS-68 b
,,,,,,,,,HATS-69 b
,,,,,,,,,HATS-6 b
,,,,,,,,,HATS-70 b
,,,,,,,,,HATS-71 b
,,,,,,,,,HATS-72 b
,,,,,,,,,HATS-7 b
,,,,,,,,,HATS-8 b
,,,,,,,,,HATS-9 b
,,,,,,,,,HD 100546 b
,,,,,,,,,HD 100655 b
,,,,,,,,,HD 100777 b
,,,,,,,,,HD 10180 c
,,,,,,,,,HD 10180 d
,,,,,,,,,HD 10180 e
,,,,,,,,,HD 10180 f
,,,,,,,,,HD 10180 g
,,,,,,,,,HD 10180 h
,,,,,,,,,HD 101930 b
,,,,,,,,,HD 102117 b
,,,,,,,,,HD 102195 b
,,,,,,,,,HD 102272 b
,,,,,,,,,HD 102329 b
,,,,,,,,,HD 102329 c
,,,,,,,,,HD 102365 b
,,,,,,,,,HD 102843 b
,,,,,,,,,HD 102956 b
,,,,,,,,,HD 103197 b
,,,,,,,,,HD 103720 b
,,,,,,,,,HD 103774 b
,,,,,,,,,HD 103949 b
,,,,,,,,,HD 104067 b
,,,,,,,,,HD 10442 b
,,,,,,,,,HD 104985 b
,,,,,,,,,HD 106252 b
,,,,,,,,,HD 106270 b
,,,,,,,,,HD 106315 b
,,,,,,,,,HD 106315 c
,,,,,,,,,HD 10647 b
,,,,,,,,,HD 106515 A b
,,,,,,,,,HD 106906 b
,,,,,,,,,HD 10697 b
,,,,,,,,,HD 107148 b
,,,,,,,,,HD 108147 b
,,,,,,,,,HD 108341 b
,,,,,,,,,HD 108863 b
,,,,,,,,,HD 108874 b
,,,,,,,,,HD 108874 c
,,,,,,,,,HD 109246 b
,,,,,,,,,HD 109271 b
,,,,,,,,,HD 109271 c
,,,,,,,,,HD 109749 b
,,,,,,,,,HD 110014 b
,,,,,,,,,HD 111232 b
,,,,,,,,,HD 111591 b
,,,,,,,,,HD 111998 b
,,,,,,,,,HD 113337 b
,,,,,,,,,HD 113538 b
,,,,,,,,,HD 113538 c
,,,,,,,,,HD 113996 b
,,,,,,,,,HD 114386 b
,,,,,,,,,HD 114613 b
,,,,,,,,,HD 114729 b
,,,,,,,,,HD 114762 b
,,,,,,,,,HD 114783 b
,,,,,,,,,HD 114783 c
,,,,,,,,,HD 11506 b
,,,,,,,,,HD 11506 c
,,,,,,,,,HD 116029 b
,,,,,,,,,HD 116029 c
,,,,,,,,,HD 117207 b
,,,,,,,,,HD 11755 b
,,,,,,,,,HD 117618 b
,,,,,,,,,HD 118203 b
,,,,,,,,,HD 11964 b
,,,,,,,,,HD 11964 c
,,,,,,,,,HD 11977 b
,,,,,,,,,HD 120084 b
,,,,,,,,,HD 121504 b
,,,,,,,,,HD 12484 b
,,,,,,,,,HD 125390 b
,,,,,,,,,HD 125595 b
,,,,,,,,,HD 125612 b
,,,,,,,,,HD 125612 c
,,,,,,,,,HD 125612 d
,,,,,,,,,HD 12648 b
,,,,,,,,,HD 126525 b
,,,,,,,,,HD 126614 b
,,,,,,,,,HD 12661 b
,,,,,,,,,HD 12661 c
,,,,,,,,,HD 128311 b
,,,,,,,,,HD 128311 c
,,,,,,,,,HD 128356 b
,,,,,,,,,HD 129445 b
,,,,,,,,,HD 130322 b
,,,,,,,,,HD 131496 b
,,,,,,,,,HD 131664 b
,,,,,,,,,HD 13167 b
,,,,,,,,,HD 13189 b
,,,,,,,,,HD 132406 b
,,,,,,,,,HD 132563 b
,,,,,,,,,HD 133131 A b
,,,,,,,,,HD 133131 A c
,,,,,,,,,HD 133131 B b
,,,,,,,,,HD 134060 b
,,,,,,,,,HD 134060 c
,,,,,,,,,HD 134987 b
,,,,,,,,,HD 134987 c
,,,,,,,,,HD 136352 b
,,,,,,,,,HD 136352 c
,,,,,,,,,HD 136352 d
,,,,,,,,,HD 136418 b
,,,,,,,,,HD 13724 b
,,,,,,,,,HD 137388 b
,,,,,,,,,HD 13908 b
,,,,,,,,,HD 13908 c
,,,,,,,,,HD 13931 b
,,,,,,,,,HD 139357 b
,,,,,,,,,HD 1397 b
,,,,,,,,,HD 14067 b
,,,,,,,,,HD 141399 b
,,,,,,,,,HD 141399 c
,,,,,,,,,HD 141399 d
,,,,,,,,,HD 141399 e
,,,,,,,,,HD 141937 b
,,,,,,,,,HD 142022 A b
,,,,,,,,,HD 142245 b
,,,,,,,,,HD 142415 b
,,,,,,,,,HD 142 b
,,,,,,,,,HD 142 c
,,,,,,,,,HD 143105 b
,,,,,,,,,HD 143361 b
,,,,,,,,,HD 145377 b
,,,,,,,,,HD 145457 b
,,,,,,,,,HD 145934 b
,,,,,,,,,HD 1461 b
,,,,,,,,,HD 1461 c
,,,,,,,,,HD 147018 b
,,,,,,,,,HD 147018 c
,,,,,,,,,HD 147379 b
,,,,,,,,,HD 147513 b
,,,,,,,,,HD 147873 b
,,,,,,,,,HD 147873 c
,,,,,,,,,HD 14787 b
,,,,,,,,,HD 148156 b
,,,,,,,,,HD 148164 b
,,,,,,,,,HD 148164 c
,,,,,,,,,HD 148284 b
,,,,,,,,,HD 148427 b
,,,,,,,,,HD 149026 b
,,,,,,,,,HD 149143 b
,,,,,,,,,HD 1502 b
,,,,,,,,,HD 150706 b
,,,,,,,,,HD 152079 b
,,,,,,,,,HD 152581 b
,,,,,,,,,HD 15337 b
,,,,,,,,,HD 15337 c
,,,,,,,,,HD 153950 b
,,,,,,,,,HD 154345 b
,,,,,,,,,HD 154672 b
,,,,,,,,,HD 154857 b
,,,,,,,,,HD 154857 c
,,,,,,,,,HD 155233 b
,,,,,,,,,HD 155358 b
,,,,,,,,,HD 155358 c
